make,model,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,registrationcity,registrationstate,Selling_Price
Hyundai,I10,2014.0,Petrol,94231.0,1,Manual,Hatchback,Chennai,Tamil Nadu,372000.0
Honda,Jazz,2011.0,Petrol,46178.0,1,Manual,Hatchback,Surat,Gujarat,325000.0
Kia,Seltos,2020.0,Petrol,8902.0,1,Manual,SUV,Gurgaon,Haryana,1139100.0
Maruti,Swift,2018.0,Petrol + Cng,82644.0,1,Manual,Hatchback,Delhi,Delhi,536000.0
Hyundai,Creta,2019.0,Diesel,73150.0,1,Manual,SUV,Gurgaon,Haryana,835499.0
Hyundai,Creta,2020.0,Diesel,21176.0,1,Manual,SUV,Noida,Uttar Pradesh,1075700.0
Ford,Ecosport,2016.0,Diesel,78870.0,1,Manual,SUV,Mumbai,Maharashtra,523000.0
Mg,Hector,2020.0,Diesel,69338.0,1,Manual,SUV,Vijayawada,Andhra Pradesh,1309100.0
Maruti,Alto K10,2017.0,Petrol,21188.0,1,Manual,Hatchback,New Delhi,Delhi,344000.0
Mahindra,Xuv500,2016.0,Diesel,50022.0,2,Automatic,SUV,Mumbai,Maharashtra,1070000.0
Maruti,New  Wagon-R,2019.0,Petrol + Cng,38290.0,1,Manual,Hatchback,Thane,Maharashtra,578000.0
Tata,Nexon,2018.0,Petrol + Cng,65714.0,1,Manual,SUV,Meerut,Uttar Pradesh,667000.0
Skoda,Kushaq,2022.0,Petrol,15761.0,1,Manual,Hatchback,New Delhi,Delhi,1075600.0
Maruti,Celerio,2014.0,Petrol,77475.0,2,Automatic,Hatchback,Chennai,Tamil Nadu,369000.0
Maruti,Alto 800,2018.0,Petrol,13951.0,1,Manual,Hatchback,Gurgaon,Haryana,309000.0
Honda,Amaze,2013.0,Petrol,82397.0,1,Manual,Sedan,Kolkata,West Bengal,278000.0
Maruti,Swift,2012.0,Petrol,75606.0,1,Manual,Hatchback,Surendranagar,Gujarat,374799.0
Maruti,Swift,2022.0,Petrol,371.0,1,Manual,Hatchback,Delhi,Delhi,635000.0
Maruti,Alto,2022.0,Petrol,4061.0,1,Manual,Hatchback,Anand,Gujarat,419000.0
